idx,CHILD_SEX,IDD_SCORE,AGE,HHID_count,HH_AGE,FOOD_EXPENSE_WEEKLY,NON-FOOD_EXPENSE_WEEKLY,HDD_SCORE,FOOD_INSECURITY,BEN_4PS,AREA_TYPE,FOOD_EXPENSE_WEEKLY_pc,NON-FOOD_EXPENSE_WEEKLY_pc
VZ476,Male,7.0,12.0,5,26.0,982.1847333333334,1207.5,9.0,Severe,No,URBAN,196.43694666666667,241.5
VZ480,Female,10.0,9.0,4,18.5,1624.1898273333336,1912.5,9.0,Mild,No,URBAN,406.0474568333334,478.125
VZ484,Male,9.0,13.0,7,22.428571428571427,2798.9830796666665,3126.25,12.0,None,No,URBAN,399.85472566666664,446.60714285714283
VZ496,Female,6.0,10.0,7,14.428571428571429,2748.6921213333335,1770.0,10.0,Moderate,No,URBAN,392.6703030476191,252.85714285714286
VZ507,Female,11.0,10.0,5,21.4,2729.2436337333334,700.0,11.0,Moderate,No,URBAN,545.8487267466667,140.0
VZ512,Male,6.0,11.0,4,24.25,1462.4202463333336,670.25,11.0,Moderate,Yes,URBAN,365.6050615833334,167.5625
VZ515,Male,8.0,9.0,6,28.5,1920.1695025333333,2270.0,10.0,Severe,Yes,URBAN,320.02825042222224,378.3333333333333
VZ521,Male,6.0,9.0,3,27.666666666666668,2751.368332666667,1455.0,11.0,Mild,No,URBAN,917.1227775555557,485.0
VZ525,Male,9.0,8.0,4,26.0,1751.3286128000002,1737.5,9.0,Moderate,No,URBAN,437.83215320000005,434.375
VZ529,Female,6.0,12.0,6,29.5,1350.9018504,1545.0,12.0,None,No,URBAN,225.1503084,257.5
VZ536,Male,7.0,18.0,6,40.833333333333336,1474.7975106666668,2061.675,11.0,Moderate,No,URBAN,245.79958511111113,343.6125
VZ543,Male,9.0,9.0,7,30.285714285714285,2295.66015,18892.018333,10.0,None,Yes,URBAN,327.95145,2698.859761857143
VZ547,Female,9.0,12.0,4,23.5,2589.221460833333,2028.922,7.0,None,No,URBAN,647.3053652083332,507.2305
VZ552,Female,7.0,9.0,5,17.4,1125.7693504,1115.6,10.0,None,No,URBAN,225.15387008,223.11999999999998
VZ556,Male,8.0,8.0,3,25.0,1340.1130909333333,790.0,9.0,None,No,URBAN,446.7043636444444,263.3333333333333
VZ561,Male,7.0,12.0,5,28.4,2705.4448959999995,1099.75,11.0,Mild,No,URBAN,541.0889791999999,219.95
VZ563,Male,7.0,9.0,3,16.666666666666668,2137.07695,500.0,12.0,Severe,No,URBAN,712.3589833333334,166.66666666666666
VZ567,Female,6.0,12.0,4,23.25,1461.0011439766668,1061.675,12.0,None,No,URBAN,365.2502859941667,265.41875
VZ572,Female,7.0,11.0,6,21.833333333333332,759.9463002,516.0,6.0,Severe,Yes,URBAN,126.6577167,86.0
VZ577,Female,7.0,10.0,5,18.0,1164.437877,2966.675,11.0,Moderate,No,URBAN,232.8875754,593.335
VZ583,Female,7.0,9.0,5,19.8,1394.7486128,849.461,9.0,None,No,URBAN,278.94972256,169.8922
VZ587,Female,6.0,4.0,4,30.5,1169.3422153333333,621.09042,8.0,Severe,No,URBAN,292.33555383333334,155.272605
VZ592,Female,11.0,12.0,4,23.75,946.5924598333336,1730.54521,10.0,Moderate,No,URBAN,236.6481149583334,432.6363025
VZ596,Female,6.0,10.0,7,22.428571428571427,2034.1013843833337,3438.4866700000002,10.0,Mild,Yes,URBAN,290.58591205476193,491.21238142857146
VZ602,Male,8.0,9.0,4,21.25,931.33399822,9417.5,8.0,Moderate,No,URBAN,232.833499555,2354.375
VZ606,Female,7.0,10.0,6,16.5,1211.9305833333333,88.04521,8.0,Severe,No,URBAN,201.98843055555554,14.674201666666667
VZ614,Male,8.0,9.0,8,15.25,1360.6841998333332,1077.5,10.0,Mild,Yes,URBAN,170.08552497916665,134.6875
VZ620,Male,8.0,10.0,5,19.4,1947.4875833333335,1312.224,12.0,Moderate,No,URBAN,389.4975166666667,262.4448
VZ625,Female,9.0,9.0,3,23.666666666666668,1349.8089796333331,780.0,10.0,None,No,URBAN,449.9363265444444,260.0
VZ629,Male,6.0,11.0,5,22.6,1204.5823128,2292.5,11.0,Severe,No,URBAN,240.91646255999999,458.5
VZ633,Male,6.0,9.0,3,20.666666666666668,1600.4835313333333,2604.4566,10.0,None,No,URBAN,533.4945104444445,868.1522
VZ637,Male,12.0,9.0,4,19.25,1496.20363275,5159.9349999999995,12.0,None,No,URBAN,374.0509081875,1289.9837499999999
VZ640,Female,9.0,11.0,4,26.25,1845.220432,1805.0,11.0,None,Yes,URBAN,461.305108,451.25
VZ645,Female,7.0,11.0,5,19.8,1284.1278213333333,1306.9740000000002,11.0,Mild,No,URBAN,256.8255642666667,261.39480000000003
VZ649,Male,8.0,8.0,5,15.4,3101.1149,165.0,6.0,Severe,No,URBAN,620.22298,33.0
VZ653,Male,6.0,12.0,2,33.5,488.37311853333335,1769.25,9.0,Mild,No,URBAN,244.18655926666668,884.625
VZ656,Female,7.0,9.0,3,29.0,2400.620549333333,3976.6356299999998,11.0,Mild,Yes,URBAN,800.2068497777777,1325.54521
VZ666,Male,7.0,8.0,11,21.90909090909091,1370.3249326533335,2530.0,8.0,Severe,No,URBAN,124.57499387757576,230.0
VZ670,Female,9.0,11.0,6,16.0,463.87828300000007,766.675,9.0,Severe,No,URBAN,77.31304716666668,127.77916666666665
