idx,CHILD_SEX,IDD_SCORE,AGE,HHID_count,HH_AGE,FOOD_EXPENSE_WEEKLY,NON-FOOD_EXPENSE_WEEKLY,HDD_SCORE,FOOD_INSECURITY,YoungBoys,YoungGirls,AverageMonthlyIncome,BEN_4PS,AREA_TYPE,FOOD_EXPENSE_WEEKLY_pc,NON-FOOD_EXPENSE_WEEKLY_pc,AverageMonthlyIncome_pc
CV1388,1,7,11,5,28.4,741,157.75,9,4,-999,-999,1,2,0,148.2,31.55,0.2
CV1383,0,6,5,6,13.5,6407.5,596.25,9,1,1,1,6,2,0,1067.916667,99.375,1
CV1382,0,7,5,5,22.4,1136.5,15964.75,9,3,1,0,2,2,0,227.3,3192.95,0.4
CV1118,0,6,5,4,27.5,1098,251.25,8,3,1,0,1,1,0,274.5,62.8125,0.25
CV1275,1,7,6,4,51,1181,1098.75,9,3,-999,-999,1,1,0,295.25,274.6875,0.25
CV966,1,5,8,3,21.66666667,642,58.5,9,4,-999,-999,1,1,0,214,19.5,0.333333333
CV1129,0,6,6,4,24,412.5,392.71,9,3,-999,-999,1,1,0,103.125,98.1775,0.25
CV1130,0,7,7,6,23.16666667,855,2075,8,1,-999,-999,3,2,0,142.5,345.8333333,0.5
CV1389,0,4,12,8,19.625,1279,208.25,5,3,0,1,2,2,0,159.875,26.03125,0.25
CV1409,0,7,9,6,21.66666667,2600,3610.625,9,2,-999,-999,2,2,0,433.3333333,601.7708333,0.333333333
CV1156,0,7,4,4,24.25,997,220.5,9,1,1,0,2,1,0,249.25,55.125,0.5
CV964,0,7,5,3,20,1723,337.25,9,2,1,0,1,1,0,574.3333333,112.4166667,0.333333333
CV1414,0,6,5,6,15.33333333,1241.5,1172.0825,9,3,2,0,3,2,0,206.9166667,195.3470833,0.5
CV906,1,3,5,4,15.5,2594.5,1117.5,9,3,1,1,2,1,0,648.625,279.375,0.5
CV1381,1,6,5,5,19,1139,989.75,7,3,0,1,1,1,0,227.8,197.95,0.2
CV1216,0,6,8,6,17.16666667,2175,589.5,9,3,1,1,2,1,0,362.5,98.25,0.333333333
CV1157,1,7,6,5,23.2,3115,1185.5,9,4,-999,-999,2,1,0,623,237.1,0.4
CV1456,1,6,8,7,23.42857143,1392.67,692.875,9,3,0,1,3,1,0,198.9528571,98.98214286,0.428571429
CV1408,0,6,11,6,21.33333333,1089,1883.75,8,2,0,1,2,1,0,181.5,313.9583333,0.333333333
CV1152,1,7,7,6,37.33333333,2359,716.77,8,4,-999,-999,2,2,0,393.1666667,119.4616667,0.333333333
CV881,1,7,9,4,18.75,1027,938.335,9,3,0,1,2,1,0,256.75,234.58375,0.5
CV1745,0,5,12,8,22.25,2275,1507.5,8,3,-999,-999,5,1,0,284.375,188.4375,0.625
CV971,1,7,12,5,16.4,911,670.25,9,4,1,0,1,1,0,182.2,134.05,0.2
CV1127,0,8,5,4,19,1229,380.75,9,3,1,0,3,1,0,307.25,95.1875,0.75
CV1713,0,6,11,7,26.28571429,1293,736.25,8,4,-999,-999,1,2,0,184.7142857,105.1785714,0.142857143
CV873,1,6,5,4,14,4107,729.75,9,1,1,1,9,1,0,1026.75,182.4375,2.25
CV1232,0,6,8,5,20,2490,6510,9,1,1,0,4,1,0,498,1302,0.8
CV978,0,5,8,3,22.33333333,1149,1946.25,7,3,-999,-999,2,1,0,383,648.75,0.666666667
CV990,1,6,8,3,14,3120,2383.335,9,1,1,0,8,1,0,1040,794.445,2.666666667
CV919,0,8,11,5,16.8,2460,1517.5,7,4,-999,-999,3,2,0,492,303.5,0.6
CV1231,0,7,6,5,16.8,2460,1517.5,7,4,-999,-999,3,2,0,492,303.5,0.6
CV1418,1,3,7,6,17.5,1966,751.25,9,4,0,1,2,1,0,327.6666667,125.2083333,0.333333333
CV1453,0,2,5,5,31.2,7207.5,1622.5,8,4,1,0,9,1,0,1441.5,324.5,1.8
CV1208,0,3,8,5,35.4,2380,1288.75,9,3,-999,-999,4,1,0,476,257.75,0.8
CV804,1,6,7,4,21.5,2601,1317.5,7,4,1,0,1,1,0,650.25,329.375,0.25
CV1416,1,8,5,5,15.4,644,506.75,7,4,0,1,1,2,0,128.8,101.35,0.2
CV1511,0,7,8,6,16.83333333,1899,2803.5,9,4,1,0,1,2,0,316.5,467.25,0.166666667
